query,id,timestamp_utc,local_time,user_screen_name,text,possibly_sensitive,retweet_count,like_count,reply_count,lang,to_username,to_userid,to_tweetid,source_name,source_url,user_location,lat,lng,user_id,user_name,user_verified,user_description,user_url,user_image,user_tweets,user_followers,user_friends,user_likes,user_lists,user_created_at,user_timestamp_utc,collected_via,match_query,retweeted_id,retweeted_user,retweeted_user_id,retweeted_timestamp_utc,quoted_id,quoted_user,quoted_user_id,quoted_timestamp_utc,collection_time,url,place_country_code,place_name,place_type,place_coordinates,links,domains,media_urls,media_files,media_types,mentioned_names,mentioned_ids,hashtags,intervention_type,intervention_text,intervention_url
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1084878577932386304,1547490183,2019-01-14T18:23:03,Another_Europe,"""In Ireland, only the third referendum overturned the ban on abortion. That's part of democracy: people's views are tested because they can and do change."" 🙌 @lloyd_rm",,40,77,0,en,,,,Twitter for Android,http://twitter.com/download/android,UK,,,3869876177,Another Europe 🧡,0,Another Europe is Possible is an alliance of left-wingers and progressives fighting for an alternative to the politics of Brexit.,http://www.anothereurope.org/,https://pbs.twimg.com/profile_images/1437345755564548099/5VxSTD3S_normal.png,13343,22917,1644,10148,250,2015-10-05T09:32:56,1444037576,scraping,1,,,,,,,,,2022-03-28T13:55:41.709969,https://twitter.com/Another_Europe/statuses/1084878577932386304,,,,,,,,,,lloyd_rm,38880112,,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1084865730305236994,1547487120,2019-01-14T17:32:00,freesafelegal,"A fascinating article about shame in Ireland. One of our goals in ARC is to end the stigma and shame around abortion. 
https://www.rte.ie/eile/brainstorm/2018/0926/998210-how-stigma-and-shame-are-deployed-for-political-ends/",0,17,43,2,en,,,,TweetDeck,https://about.twitter.com/products/tweetdeck,Ireland,,,1096875997,Abortion Rights IE,1,We are an all volunteer group of grassroots activists working on the campaign for #FreeSafeLegalLocal abortion in Ireland #Now4NI,http://www.abortionrightscampaign.ie,https://pbs.twimg.com/profile_images/1415967938927120385/ZLBB5f6R_normal.jpg,45790,26314,4966,18139,221,2013-01-17T01:39:13,1358386753,scraping,1,,,,,,,,,2022-03-28T13:55:41.711933,https://twitter.com/freesafelegal/statuses/1084865730305236994,,,,,https://www.rte.ie/eile/brainstorm/2018/0926/998210-how-stigma-and-shame-are-deployed-for-political-ends/,rte.ie,,,,,,,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1084813196983193600,1547474595,2019-01-14T14:03:15,DailySignal,"Abortion became legal in Ireland on January 1 - but most hospital staffers don’t want to perform them.

Fewer than 5% of doctors in Ireland have told the government that they are willing to perform abortions. https://bit.ly/2AKCoc1",0,22,24,4,en,,,,Sprout Social,https://sproutsocial.com,"Washington, DC",,,2361224263,The Daily Signal,1,"Committed to news coverage that is accurate, fair, and trustworthy.

Do you think it’s time to restore journalism? Join us!",http://www.dailysignal.com,https://pbs.twimg.com/profile_images/1181601391254609925/grRhgOAd_normal.jpg,64156,74479,4250,2671,1106,2014-02-25T15:01:18,1393340478,scraping,1,,,,,,,,,2022-03-28T13:55:41.712619,https://twitter.com/DailySignal/statuses/1084813196983193600,,,,,https://bit.ly/2AKCoc1,bit.ly,,,,,,,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1084731846749913088,1547455200,2019-01-14T08:40:00,freesafelegal,"Our siblings in Northern Ireland canvassed and marched with us for repeal and on the day of the result, we said the North is Next. We must stand with our comrades in Northern Ireland and demand free abortions #NowforNI #thenorthisnext
https://www.abortionrightscampaign.ie/2019/01/13/lets-talk-about-accessible-abortion-for-people-living-in-northern-ireland/ https://twitter.com/freesafelegal/status/1084731846749913088/photo/1",0,32,55,1,en,,,,TweetDeck,https://about.twitter.com/products/tweetdeck,Ireland,,,1096875997,Abortion Rights IE,1,We are an all volunteer group of grassroots activists working on the campaign for #FreeSafeLegalLocal abortion in Ireland #Now4NI,http://www.abortionrightscampaign.ie,https://pbs.twimg.com/profile_images/1415967938927120385/ZLBB5f6R_normal.jpg,45790,26314,4966,18139,221,2013-01-17T01:39:13,1358386753,scraping,1,,,,,,,,,2022-03-28T13:55:41.713559,https://twitter.com/freesafelegal/statuses/1084731846749913088,,,,,https://www.abortionrightscampaign.ie/2019/01/13/lets-talk-about-accessible-abortion-for-people-living-in-northern-ireland/,abortionrightscampaign.ie,https://pbs.twimg.com/media/Dwz5MjJXgAA7MMa.jpg,1084731846749913088_Dwz5MjJXgAA7MMa.jpg,photo,,,nowforni|thenorthisnext,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1084720274841456640,1547452441,2019-01-14T07:54:01,JoannaJ_Ireland,UNBORN BABIES : I have read the Abortion act 2018. There is no reference to the disposal of the babies remains. This means open season on unborn baby parts. The hospitals and Abortion factories can do whatever they like with them.God Bless. Joanna,,28,41,11,en,,,,Twitter Web Client,http://twitter.com,,,,963022867725258758,Joanna Dan,0,"Artist, Writer. I use the Ten Commandments of God, given to Moses on Mount Sinai, as my Moral Compass.",,https://pbs.twimg.com/profile_images/999637376115736577/ziTSyJnc_normal.jpg,446,129,0,7,0,2018-02-12T12:11:58,1518437518,scraping,1,,,,,,,,,2022-03-28T13:55:41.714114,https://twitter.com/JoannaJ_Ireland/statuses/1084720274841456640,,,,,,,,,,,,,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1084686552050085888,1547444401,2019-01-14T05:40:01,RewireNewsGroup,"Abortion in #Ireland is now free, safe, and legal up to 12 weeks into pregnancy.

Can the rest of the world catch up now? 

https://rewirenews.link/2Ll8OxK",0,19,98,0,en,,,,Buffer,https://buffer.com,,,,14764240,Rewire News Group,1,"Home of @AngryBlackLady Chronicles, @Hegemommy, #BoomLawyered and The Fallout 📧 https://t.co/FG2Insi2fd",http://rewirenewsgroup.com,https://pbs.twimg.com/profile_images/1443242471471947781/XYrwIq24_normal.jpg,97894,83815,3211,28374,2294,2008-05-13T20:35:15,1210710915,scraping,1,,,,,,,,,2022-03-28T13:55:41.715387,https://twitter.com/RewireNewsGroup/statuses/1084686552050085888,,,,,https://rewirenews.link/2Ll8OxK,rewirenews.link,,,,,,ireland,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1084606024714194948,1547425201,2019-01-14T00:20:01,LifeNewsHQ,95% of Doctors in Ireland are Refusing to Kill Babies in Abortions https://buff.ly/2scCPqT https://twitter.com/LifeNewsHQ/status/1084606024714194948/photo/1,0,73,179,14,en,,,,Buffer,https://buffer.com,USA,,,50434933,LifeNews.com,0,https://t.co/0D2kd9rG5j is a pro-life news outlet fighting abortion. Follow us at https://t.co/epcTdZRUKw and https://t.co/XHRmEPKIzM and https://t.co/SqwQowOIjI,http://www.LifeNews.com,https://pbs.twimg.com/profile_images/2237744050/lifenewsfb4_normal.jpg,225251,236955,216984,78941,2725,2009-06-24T20:52:42,1245876762,scraping,1,,,,,,,,,2022-03-28T13:55:41.716314,https://twitter.com/LifeNewsHQ/statuses/1084606024714194948,,,,,https://buff.ly/2scCPqT,buff.ly,https://pbs.twimg.com/media/Dw1LbmGX4AITsXK.jpg,1084606024714194948_Dw1LbmGX4AITsXK.jpg,photo,,,,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1084598320209842178,1547423365,2019-01-13T23:49:25,DrPamLowe,"#CallTheMidwife again shows why abortion should be free, safe, legal and local. It is a travesty that this is not the case in Northern Ireland #nowfoni #whydecrim @All4Choice « Abortion_Rights: #CallTheMidwife always do such a good job of covering difficult stories. This season they start an abortion storyline they contacted us about. #beyondthebackstreet — https://twitter.com/Abortion_Rights/status/1084547593991004160 »",0,22,64,0,en,,,,Twitter Web Client,http://twitter.com,,,,1045695575457435654,Dr Pam Lowe,0,Feminist academic activist,,https://pbs.twimg.com/profile_images/1322639600221904896/S8pqC_Ba_normal.jpg,7038,605,475,10009,1,2018-09-28T15:23:48,1538148228,scraping,1,,,,,1084547593991004160,Abortion_Rights,218535509,1547411270,2022-03-28T13:55:41.717356,https://twitter.com/DrPamLowe/statuses/1084598320209842178,,,,,https://twitter.com/Abortion_Rights/status/1084547593991004160,twitter.com,,,,all4choice,3364484080,beyondthebackstreet|callthemidwife|nowfoni|whydecrim,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1084590423706865664,1547421482,2019-01-13T23:18:02,cnalive,"""Abortion is a heart issue. And until we get to the heart, nothing's going to change."" #Prolife #Ireland #Abortion http://bit.ly/2RnhE4s",0,40,166,7,en,,,,Auto tweets,https://www.catholicnewsagency.com,"Denver, CO",,,32422915,Catholic News Agency,1,"News and resources on the Catholic Church, from Catholic journalists. 
A service of @EWTNews",http://www.catholicnewsagency.com,https://pbs.twimg.com/profile_images/1379821529630842880/B0CxHlZW_normal.jpg,101267,366231,25577,4973,2903,2009-04-17T14:23:09,1239978189,scraping,1,,,,,,,,,2022-03-28T13:55:41.718323,https://twitter.com/cnalive/statuses/1084590423706865664,,,,,http://bit.ly/2RnhE4s,bit.ly,,,,,,abortion|ireland|prolife,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1084546375340249089,1547410980,2019-01-13T20:23:00,BXLIrish4Choice,"Repeal BXL is hosting a pub quiz to raise funds for the fight for abortion rights in Northern Ireland. All proceeds go to @All4Choice
& @AbortionSupport! Show your solidarity by joining in for a night of trivia & craic! ❓🍻 #NowforNI #TheNorthIsNext ⬇️ https://www.facebook.com/events/2172585899661133/?ti=as https://twitter.com/RepealBXL/status/1084546375340249089/photo/1",0,17,19,1,en,,,,Twitter for Android,http://twitter.com/download/android,Brussels via Ireland,,,773587292892135426,BXL-Irish for Choice,0,"BXL-Irish for Choice is an activist group campaigning for abortion rights for the island of Ireland. We #RepealedThe8th, now #TheNorthIsNext! 📢",https://www.facebook.com/BXLIrish4Choice,https://pbs.twimg.com/profile_images/1085590653436919815/YbX1gcxK_normal.jpg,971,397,295,1141,3,2016-09-07T18:22:38,1473272558,scraping,1,,,,,,,,,2022-03-28T13:55:41.719237,https://twitter.com/BXLIrish4Choice/statuses/1084546375340249089,,,,,https://www.facebook.com/events/2172585899661133/?ti=as,facebook.com,https://pbs.twimg.com/media/Dw0VLegW0AIbnnT.jpg,1084546375340249089_Dw0VLegW0AIbnnT.jpg,photo,abortionsupport|all4choice,50308435|3364484080,nowforni|thenorthisnext,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1084512540548386816,1547402913,2019-01-13T18:08:33,ElaineYoung94,"In Northern Ireland, this young woman would have had no access to abortion . She fell pregnant at the age of 11 to her father . She would have been refused an abortion in Northern Ireland. « Fiona7689Fiona: Father raped daughter four times a day and twice got her pregnant https://mol.im/a/6586415 via @MailOnline — https://twitter.com/Fiona7689Fiona/status/1084509698777366529 »",0,72,221,21,en,,,,Twitter for iPhone,http://twitter.com/download/iphone,Belfast,,,447457752,Elaine,0,"Married, left leaning mum of two ASD boys. Unashamedly Humanist, Pro Choice, Pro Marriage Equality, Dignity in Dying. Boring .",,https://pbs.twimg.com/profile_images/1442621430043234310/B1YoAMxs_normal.jpg,204198,24151,15192,446041,97,2011-12-26T22:39:52,1324939192,scraping,1,,,,,1084509698777366529,Fiona7689Fiona,2906146191,1547402236,2022-03-28T13:55:42.598489,https://twitter.com/ElaineYoung94/statuses/1084512540548386816,GB,"Belfast, Northern Ireland",city,"[[-6.0361161, 54.543241], [-5.8207101, 54.543241], [-5.8207101, 54.6484968], [-6.0361161, 54.6484968]]",https://mol.im/a/6586415|https://twitter.com/Fiona7689Fiona/status/1084509698777366529,mol.im|twitter.com,,,,mailonline,15438913,,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1084168031583064064,1547320776,2019-01-12T19:19:36,roisiningle,"A few surprising chats I’ve had  suggest abortion’s still seen as a “controversial” issue by some despite a landslide vote in favour. It’s healthcare, it’s legal, it means women & girls in Ireland have choices. We can  talk about it without the cloak of controversy or shame  👍🏻",,15,160,5,en,,,,Twitter for iPhone,http://twitter.com/download/iphone,Dublin,,,20971849,Róisín Ingle,1,"Writer, Podcaster, Columnist, Ukulele/Taylor enthusiast @itwomenspodcast @irishtimes https://t.co/yCE97VzPYd",http://irishtimes.com,https://pbs.twimg.com/profile_images/1500078876441120768/j-sNxozr_normal.jpg,73601,77378,13084,92898,408,2009-02-16T08:56:11,1234774571,scraping,1,,,,,,,,,2022-03-28T13:55:42.599470,https://twitter.com/roisiningle/statuses/1084168031583064064,,,,,,,,,,,,,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1084163151191515136,1547319612,2019-01-12T19:00:12,LifeNewsHQ,All 19 Maternity Hospitals in Ireland Now Kill Babies in Abortions https://buff.ly/2sgyymi #Dublin #Ireland https://twitter.com/LifeNewsHQ/status/1084163151191515136/photo/1,0,11,5,1,en,,,,Buffer,https://buffer.com,USA,,,50434933,LifeNews.com,0,https://t.co/0D2kd9rG5j is a pro-life news outlet fighting abortion. Follow us at https://t.co/epcTdZRUKw and https://t.co/XHRmEPKIzM and https://t.co/SqwQowOIjI,http://www.LifeNews.com,https://pbs.twimg.com/profile_images/2237744050/lifenewsfb4_normal.jpg,225251,236955,216984,78941,2725,2009-06-24T20:52:42,1245876762,scraping,1,,,,,,,,,2022-03-28T13:55:42.600862,https://twitter.com/LifeNewsHQ/statuses/1084163151191515136,,,,,https://buff.ly/2sgyymi,buff.ly,https://pbs.twimg.com/media/Dwu4o_bWkAA1PS6.jpg,1084163151191515136_Dwu4o_bWkAA1PS6.jpg,photo,,,dublin|ireland,,,
abortion ireland min_retweets:10 until:2019-01-20 since:2018-12-21 -filter:replies,1084156810330865665,1547318100,2019-01-12T18:35:00,RewireNewsGroup,"Abortion in #Ireland is now free, safe, and legal up to 12 weeks into pregnancy.

https://rewirenews.link/2Ll8OxK",0,35,126,2,en,,,,Buffer,https://buffer.com,,,,14764240,Rewire News Group,1,"Home of @AngryBlackLady Chronicles, @Hegemommy, #BoomLawyered and The Fallout 📧 https://t.co/FG2Insi2fd",http://rewirenewsgroup.com,https://pbs.twimg.com/profile_images/1443242471471947781/XYrwIq24_normal.jpg,97894,83815,3211,28374,2294,2008-05-13T20:35:15,1210710915,scraping,1,,,,,,,,,2022-03-28T13:55:42.602751,https://twitter.com/RewireNewsGroup/statuses/1084156810330865665,,,,,https://rewirenews.link/2Ll8OxK,rewirenews.link,,,,,,ireland,,,
